,BKR,FANG
2018-04-20,-0.023165784944340347,
2018-05-08,,-0.019644286484430076
2018-07-20,0.01608599080807633,
2018-08-08,,0.01608599080807633
2018-10-30,0.016034170985221863,
2018-11-06,,0.026024717837572098
2019-01-31,0.029197195700059336,
2019-02-19,,0.029197195700059336
2019-04-30,0.015859774530066977,
2019-05-07,,0.015859774530066977
2019-07-31,0.03430134803056717,
2019-08-06,,0.028150683268904686
2019-10-30,0.02698385090722392,
2019-11-05,,0.02698385090722392
2020-01-22,-0.017244922777172177,
2020-02-18,,-0.017244922777172177
2020-04-22,-0.004433574757949663,
2020-05-04,,-0.001343673735556428
2020-07-22,-0.003326546769963298,
2020-08-03,,0.0005066464462139866
2020-10-21,-0.04605904189928014,
2020-11-02,,-0.007190869563327176
2021-01-21,-0.016248615189889435,
2021-02-22,,-0.0038565354056216638
2021-04-21,-0.07750617143853257,
2021-05-03,,-0.07750617143853257
2021-07-21,-0.04610084907471901,
2021-08-02,,-0.04610084907471901
2021-10-20,-0.05735642749898355,
2021-11-01,,-0.05735642749898355
2022-01-20,-0.02839573286473751,
2022-02-22,,-0.08882167935371399
2022-04-20,-0.015053007574016718,
2022-05-02,,-0.015053007574016718
2022-07-20,0.023298144034842386,
2022-08-01,,-0.07748081979616929
2022-10-19,0.03292674271354704,
2022-11-07,,-0.045362752634617004
2023-01-23,0.26571498138409483,
2023-02-21,,-0.0824716747877098
2023-04-19,0.05137184313233991,
2023-05-01,,-0.06265846179825761
2023-07-19,-0.031429603695869446,
2023-07-31,,0.1099296435713768
2023-10-25,-0.018315169489690943,
2023-11-06,,-0.009613430442131504
2024-01-23,-0.03922196105122566,
2024-02-20,,0.018808627501130104
2024-04-23,-0.009667137637734413,
2024-04-30,,0.03170168027281761
2024-07-25,0.004063084721565247,
2024-08-05,,0.017323214560747147
2024-10-22,0.02127845585346222,
2024-11-04,,0.018937507644295692
2025-01-30,0.01935445262280935,
2025-02-24,,0.016975755225595992
2025-04-22,0.003466849555388263,
2025-05-05,,0.016154328486335037
2025-07-22,0.00811256468296051,
2025-08-04,,0.021666159853339195
2025-10-23,0.012844118830401551,
2025-11-03,,0.011021381041404899
2026-01-25,0.017700379339188922,
